_id,userId,bitId,watchedMs,totalDurationMs,watchPercent,completedWatch,rewatched,replayCount,pauseCount,soundOn,tappedProduct,scrolledToProduct,addedToCart,likedDuringWatch,sharedDuringWatch,source,deviceType,timestamp,__v
{'$oid': '6a114a9fa9955ce943958166'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c55f6d4f03db64a788383'},620,15019,4,False,True,0,0,True,{'$oid': '6a0c55f6d4f03db64a788383'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:11.068Z'},0
{'$oid': '6a114aa0a9955ce94395819a'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c5135d4f03db64a78773f'},569,22917,2,False,True,0,0,True,{'$oid': '6a0c5135d4f03db64a78773f'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:12.683Z'},0
{'$oid': '6a114aa1a9955ce9439581b9'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c4c22d4f03db64a786e2d'},723,22708,3,False,True,0,0,True,{'$oid': '6a0c4c22d4f03db64a786e2d'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:13.476Z'},0
{'$oid': '6a114aa2a9955ce9439581eb'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c27f2cccd23326e8be29f'},568,31834,2,False,True,0,0,True,{'$oid': '6a0c27f2cccd23326e8be29f'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:14.994Z'},0
{'$oid': '6a114aa6a9955ce94395821a'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c1a49b10aa6108036e8d0'},3096,39200,8,False,True,0,0,True,{'$oid': '6a0c1a49b10aa6108036e8d0'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:18.33Z'},0
{'$oid': '6a114aa9a9955ce943958233'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c158bb10aa6108036df86'},2431,33700,7,False,True,0,0,True,{'$oid': '6a0c158bb10aa6108036df86'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:21.077Z'},0
{'$oid': '6a114aaaa9955ce94395825b'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0b4336d382a23d66b4511e'},840,30162,3,False,True,0,0,True,{'$oid': '6a0b4336d382a23d66b4511e'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:22.153Z'},0
{'$oid': '6a114aaba9955ce94395827e'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0adae0d382a23d66b425a1'},1101,19191,6,False,True,0,0,True,{'$oid': '6a0adae0d382a23d66b425a1'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:23.487Z'},0
{'$oid': '6a114aaca9955ce9439582a3'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0ad46fd382a23d66b3fe6d'},676,16804,4,False,True,0,0,True,{'$oid': '6a0ad46fd382a23d66b3fe6d'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:24.482Z'},0
{'$oid': '6a114aada9955ce9439582c7'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a097fdfb7bb9861659c9a20'},839,31461,3,False,True,0,0,True,{'$oid': '6a097fdfb7bb9861659c9a20'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:25.652Z'},0
{'$oid': '6a114aafa9955ce9439582ea'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a097a35b7bb9861659c8c38'},1101,28918,4,False,True,0,0,True,{'$oid': '6a097a35b7bb9861659c8c38'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:27.031Z'},0
{'$oid': '6a114aafa9955ce94395830c'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0979edb7bb9861659c8aac'},697,30777,2,False,True,0,0,True,{'$oid': '6a0979edb7bb9861659c8aac'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:27.95Z'},0
{'$oid': '6a114ab1a9955ce943958342'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a09796bb7bb9861659c83dd'},650,20672,3,False,True,0,0,True,{'$oid': '6a09796bb7bb9861659c83dd'},False,False,False,False,recommendation,ios,{'$date': '2026-05-23T06:35:29.553Z'},0
{'$oid': '6a114ab5a9955ce9439583b9'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '69b99b08d5ba7b8d34df5cb3'},579,20393,3,False,True,0,0,True,{'$oid': '69b99b08d5ba7b8d34df5cb3'},False,False,False,False,feed,ios,{'$date': '2026-05-23T06:35:33.253Z'},0
